"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari"
2000161116,"03","كارگر كشاورزي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,74,0,"Admin",NA,"Admin","Admin",NA
2000041009,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,39,0,"Admin",NA,"Admin","Admin",NA
2000137068,"03","زارع",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,119,1,"Admin",NA,"Admin","Admin",NA
2000137066,"03","كارگر ساختماني",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,85,0,"Admin",NA,"Admin","Admin",NA
2000137059,"03","زراعتكار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,74,0,"Admin",NA,"Admin","Admin",NA
2000137070,"03","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,70,0,"Admin",NA,"Admin",NA,NA
2000137062,"03","درامد بدون كار",1,2,NA,2,NA,1,NA,NA,NA,"000526","061",4,109,1,"Admin",NA,"Admin","Admin",NA
2000065111,"03","درامد بدون كار",1,2,NA,4,NA,1,NA,NA,NA,"002543","110",4,37,0,"Admin",NA,"Admin",NA,NA
2000065118,"03","درامد بدون كار",1,2,NA,3,NA,1,NA,NA,NA,"002543","116",4,179,1,"Admin",NA,"Admin","Admin",NA
2000065121,"03","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,187,1,"Admin",NA,"Admin","Admin",NA
2000065113,"03","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,"Admin",NA,"Admin","Admin",NA
2000065109,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,47,0,"Admin",NA,"Admin","Admin",NA
2000149068,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,114,1,"Admin",NA,"Admin",NA,NA
2000149069,"03","باغدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,182,1,"Admin",NA,"Admin","Admin",NA
2000149063,"03","بازرس كنترل كيفي",1,2,NA,2,NA,1,NA,NA,NA,"000667","065",4,124,1,"Admin",NA,"Admin","Admin",NA
2000149060,"03","باغدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,52,0,"Admin",NA,"Admin","Admin",NA
2000149073,"03","كشاورز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,75,0,"Admin",NA,"Admin","Admin",NA
2000113258,"03","كشاورز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,116,1,"Admin",NA,"Admin","Admin",NA
2000113250,"03","كارگر ساختماني",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,155,1,"Admin",NA,"Admin","Admin",NA
2000113254,"03","درامد بدون كار",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,202,1,"Admin",NA,"Admin",NA,1
2000113248,"03","كارگر ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,249,1,"Admin",NA,"Admin","Admin",NA
2000113261,"03","كارگر ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,180,1,"Admin",NA,"Admin","Admin",NA
2000125056,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,273,1,"Admin",NA,"Admin","Admin",NA
2000125061,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,174,1,"Admin",NA,"Admin","Admin",NA
2000125068,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,307,1,"Admin",NA,"Admin","Admin",NA
2000125065,"03","معلم",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,131,1,"Admin",NA,"Admin","Admin",NA
2000125060,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,168,1,"Admin",NA,"Admin","Admin",NA
