"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06"
20311421305,"022111",1,NA,"00600","0000002500","0001500000"
20311421311,"022113",1,NA,"00600","0000002500","0001500000"
20307419714,"022113",1,NA,"01200","0000001750","0002100000"
20313422511,"022113",1,NA,"01200","0000001750","0002100000"
20321425305,"022113",1,NA,"00300","0000001750","0000525000"
20321425317,"022113",1,NA,"00600","0000001000","0000600000"
20302416914,"022113",1,NA,"00300","0000003250","0000975000"
20305418511,"022111",1,NA,"00150","0000002000","0000300000"
20306419305,"022113",1,NA,"00300","0000001500","0000450000"
20314423317,"022113",1,NA,"00120","0000002000","0000240000"
20310420514,"023111",1,NA,NA,NA,"0001000000"
20310420914,"022113",1,NA,"00030","0000002000","0000060000"
20310420902,"022113",1,NA,"01200","0000002500","0003000000"
20319424102,"022113",1,NA,"00720","0000002500","0001800000"
20319424108,"022113",1,NA,"00600","0000005000","0003000000"
20303417302,"022113",1,NA,"00375","0000002000","0000750000"
20303417317,"022113",1,NA,"00060","0000002500","0000150000"
20325426914,"022113",1,NA,"01200","0000001500","0001800000"
20320424905,"022113",1,NA,"00600","0000002000","0001200000"
20307420111,"022113",1,NA,"00600","0000002500","0001500000"
20307420105,"022113",1,NA,"00150","0000002000","0000300000"
20310420917,"022113",1,NA,"00600","0000001500","0000900000"
20313422505,"022113",1,NA,"00600","0000002500","0001500000"
20303417711,"022115",1,NA,NA,NA,"0000050000"
20325427302,"022113",1,NA,"00120","0000002000","0000240000"
20325427302,"023111",1,NA,NA,NA,"0001200000"
20001384108,"022111",1,NA,"00150","0000002500","0000375000"
20001384117,"022111",1,NA,"00300","0000003000","0000900000"
20007392508,"022111",1,NA,"00600","0000002000","0001200000"
20007392517,"022111",1,NA,"00600","0000001500","0000900000"
20007391311,"022111",1,NA,"00090","0000003500","0000315000"
20011395311,"023111",1,NA,NA,NA,"0002000000"
20001385314,"022111",1,NA,"00100","0000002500","0000250000"
20012395702,"022111",1,NA,"00600","0000002000","0001200000"
20007391705,"022111",1,NA,"00080","0000003200","0000256000"
20007391708,"022111",1,NA,"00100","0000003000","0000300000"
20004388108,"022111",1,NA,"00600","0000001500","0000900000"
20009392917,"022111",1,NA,"00600","0000001500","0000900000"
20001385708,"022113",1,NA,"00220","0000003000","0000660000"
20006390505,"022111",1,NA,"01200","0000001500","0001800000"
20006390508,"022111",1,NA,"00600","0000002500","0001500000"
20012395708,"022111",1,NA,"00600","0000003000","0001800000"
20009393305,"022111",1,NA,"00300","0000002000","0000600000"
20012396905,"023111",1,NA,NA,NA,"0000500000"
20009392902,"022111",1,NA,"00600","0000002000","0001200000"
20011394508,"022111",1,NA,"00800","0000002500","0002000000"
20009393311,"022111",1,NA,"00600","0000002500","0001500000"
20003386917,"022113",1,NA,"00020","0000003500","0000070000"
20012396908,"022111",1,NA,"00600","0000001500","0000900000"
20004388102,"022111",1,NA,"00300","0000001500","0000450000"
20003386911,"022111",1,NA,"01200","0000000200","0000240000"
20006389305,"022113",1,NA,"00600","0000002500","0001500000"
20011394511,"022113",1,NA,"00600","0000002500","0001500000"
20001384105,"022111",1,NA,"00600","0000003000","0001800000"
20006390105,"022113",1,NA,"00420","0000002500","0001050000"
20007392102,"022113",1,NA,"00600","0000002000","0001200000"
20012396117,"022113",1,NA,"00600","0000002250","0001350000"
20012396911,"022111",1,NA,"01200","0000002500","0003000000"
20006389705,"022111",1,NA,"00600","0000003500","0002100000"
20006389705,"023111",1,NA,NA,NA,"0002000000"
20011394914,"022111",1,NA,"00600","0000002250","0001350000"
20011394917,"022111",1,NA,"00160","0000002500","0000400000"
20006389717,"022111",1,NA,"00600","0000001500","0000900000"
20005388914,"022113",1,NA,"00480","0000002500","0001200000"
20005388914,"023111",1,NA,NA,NA,"0003000000"
20011395317,"022111",1,NA,"00600","0000001500","0000900000"
20003386502,"023111",1,NA,NA,NA,"0004000000"
20006389708,"022111",1,NA,"01200","0000002250","0002700000"
20010394108,"022111",1,NA,"00600","0000002000","0001200000"
20004387705,"022111",1,NA,"00600","0000002000","0001200000"
20004387305,"022111",1,NA,"00600","0000002000","0001200000"
20004388508,"022113",1,NA,"00600","0000002000","0001200000"
20007392117,"022111",1,NA,"00200","0000002000","0000400000"
20012396105,"022111",1,NA,"00600","0000001500","0000900000"
20002386111,"022113",1,NA,"00750","0000002000","0001500000"
20007390908,"022111",1,NA,"00080","0000003500","0000280000"
20007390911,"022111",1,NA,"00100","0000004000","0000400000"
20004387302,"022113",1,NA,"00600","0000003000","0001800000"
20004387302,"023111",1,NA,NA,NA,"0003000000"
20011395308,"022111",1,NA,"00600","0000002000","0001200000"
20006390102,"022113",1,NA,"00600","0000003000","0001800000"
20004387714,"022111",1,NA,"00150","0000002000","0000300000"
20010393711,"022111",1,NA,"00300","0000002000","0000600000"
20007391302,"022113",1,NA,"00300","0000002500","0000750000"
20001384517,"022111",1,NA,"00150","0000004000","0000600000"
20107401314,"022111",1,NA,"00160","0000002000","0000320000"
20101398208,"022111",1,NA,"00250","0000002000","0000500000"
20116405914,"022111",1,NA,"00060","0000002500","0000150000"
20105400002,"022111",1,NA,"00300","0000002000","0000600000"
20103399117,"022111",1,NA,"00160","0000004500","0000720000"
20106400902,"022111",1,NA,"00300","0000001500","0000450000"
20115405408,"022111",1,NA,"00120","0000002000","0000240000"
20115405417,"022111",1,NA,"00300","0000001800","0000540000"
20115405402,"022111",1,NA,"00140","0000002500","0000350000"
20115405414,"022111",1,NA,"00200","0000002000","0000400000"
20107401305,"022111",1,NA,"00600","0000002500","0001500000"
20108402202,"022111",1,NA,"00160","0000002000","0000320000"
20111403505,"022111",1,NA,"00200","0000002000","0000400000"
20106400908,"022111",1,NA,"00160","0000003000","0000480000"
20107401308,"022111",1,NA,"00050","0000003000","0000150000"
20107401317,"022111",1,NA,"00800","0000002500","0002000000"
20101398202,"022111",1,NA,"00600","0000003500","0002100000"
20107401808,"022111",1,NA,"00200","0000004000","0000800000"
20107401817,"022111",1,NA,"00080","0000003250","0000260000"
20111403508,"023111",1,NA,NA,NA,"0001800000"
20112404108,"022111",1,NA,"00400","0000003000","0001200000"
20106400905,"022111",1,NA,"00300","0000002500","0000750000"
20215411802,"022113",1,NA,"00600","0000002500","0001500000"
20204407802,"022111",1,NA,"00600","0000002500","0001500000"
20204407802,"023111",1,NA,NA,NA,"0002000000"
20204407808,"022111",1,NA,"00600","0000002500","0001500000"
20210411005,"022111",1,NA,"00150","0000003500","0000525000"
20210411014,"022111",1,NA,"00240","0000005000","0001200000"
20202407011,"022111",1,NA,"00600","0000002250","0001350000"
20215411817,"022111",1,NA,"01200","0000002750","0003300000"
20202407402,"022111",1,NA,"00600","0000002250","0001350000"
20205408608,"022111",1,NA,"00240","0000002500","0000600000"
20206409008,"022111",1,NA,"00240","0000003000","0000720000"
20208410205,"022111",1,NA,"00040","0000001250","0000050000"
20214411402,"022111",1,NA,"00300","0000002500","0000750000"
20216412202,"022113",1,NA,"00300","0000002000","0000600000"
20216412611,"022111",1,NA,"00300","1000","0000300000"
20218413005,"022113",1,NA,"00300","0000002500","0000750000"
20218413011,"022115",1,NA,NA,NA,"0000360000"
20224415402,"022113",1,NA,"00600","0000005000","0003000000"
20205408617,"022111",1,NA,"00240","0000003000","0000720000"
20224415411,"022111",1,NA,"00560","0000002750","0001540000"
20227416214,"022111",1,NA,"00600","0000004500","0002700000"
20201406205,"022111",1,NA,"00300","0000002000","0000600000"
20219413417,"022111",1,NA,"00600","0000000900","0000540000"
20225415805,"022111",1,NA,"00080","0000002500","0000200000"
20306419017,"023111",1,NA,NA,NA,"0000500000"
20320425017,"022113",1,NA,"00600","0000001250","0000750000"
20319424208,"022113",1,NA,"00600","0000002500","0001500000"
20319424205,"023111",1,NA,NA,NA,"0000150000"
20320424608,"022113",1,NA,"00900","0000002500","0002250000"
20313422202,"022113",1,NA,"00600","0000001500","0000900000"
20302416608,"022115",1,NA,NA,NA,"0000100000"
20313422214,"022113",1,NA,"00600","0000002000","0001200000"
20303417814,"022113",1,NA,"00600","0000004000","0002400000"
20303417817,"022113",1,NA,"00400","0000001500","0000600000"
20303417811,"022113",1,NA,"00300","0000002000","0000600000"
20322425817,"022113",1,NA,"00600","0000001500","0000900000"
20322425805,"022113",1,NA,"00600","0000002500","0001500000"
20322425811,"022113",1,NA,"00600","0000002500","0001500000"
20320425011,"022113",1,NA,"00300","0000003000","0000900000"
20313422611,"022113",1,NA,"00200","0000002000","0000400000"
20313422602,"022113",1,NA,"00200","0000001500","0000300000"
20302416602,"022113",1,NA,"00600","0000001750","0001050000"
20314423005,"022113",1,NA,"00030","0000003000","0000090000"
20306419408,"022113",1,NA,"00500","0000001500","0000750000"
20314423411,"022113",1,NA,"00600","0000001750","0001050000"
20306419414,"022113",1,NA,"00200","0000001250","0000250000"
20312421802,"022113",1,NA,"00300","0000002000","0000600000"
20312421817,"022113",1,NA,"00600","0000002000","0001200000"
20305418214,"022113",1,NA,"01200","0000002000","0002400000"
20306419417,"022115",1,NA,NA,NA,"0000600000"
20306419411,"022113",1,NA,"00900","0000002500","0002250000"
20306419411,"023111",1,NA,NA,NA,"0000600000"
20312421811,"022113",1,NA,"00600","0000001500","0000900000"
20324426617,"022113",1,NA,"00300","0000002500","0000750000"
20324426602,"022113",1,NA,"00600","0000002250","0001350000"
