"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15","DYCOL16","DYCOL17","DYCOL18","DYCOL19","DYCOL20","DYCOL21","DYCOL22","DYCOL23","DYCOL24","DYCOL25","DYCOL26","DYCOL27","DYCOL28","DYCOL29","DYCOL30","DYCOL31","DYCOL32","DYCOL33","DYCOL34","DYCOL35","DYCOL36","DYCOL37","DYCOL38","DYCOL39","DYCOL40","DYCOL41","DYCOL42","DYCOL43","DYCOL44","DYCOL45","DYCOL46","DYCOL47","DYCOL48","DYCOL49","DYCOL50","DYCOL51","DYCOL52"
100041053,1,"03","110",3,"01",1,NA,NA,NA,1,NA,1,1,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
100091080,1,"04","100",3,"01",1,1,NA,NA,1,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
100011044,1,"03","085",3,"01",NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
100011024,1,"04","157",3,"01",1,NA,NA,NA,1,NA,1,1,1,1,1,1,NA,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
100061061,5,"03","057",3,"01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"03","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
100011023,1,"04","156",3,"01",1,NA,NA,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10",NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
100011021,3,"03","120",1,NA,NA,1,1,NA,1,NA,1,1,1,NA,NA,1,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,"03","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
100041048,1,"03","078",3,"01",1,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
100041047,1,"04","120",3,"01",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
100011004,1,"03","120",2,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
100011001,1,"04","090",3,"01",NA,NA,1,NA,1,NA,1,1,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
100011020,1,"04","115",3,"01",1,NA,NA,NA,1,NA,1,1,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
100041049,1,"04","120",3,"01",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
100011002,1,"04","096",3,"01",1,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,"03","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
100011005,1,"04","138",3,"01",NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,"03","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
