"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari","Bakhsh","ShrDeh","Hozeh","BlkAbd","AbdName"
10001001708,"03","كارگر ساختمان",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,80,0,"Admin",NA,"Admin","Admin",1,NA,NA,NA,NA,NA
10001001712,"03","راننده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,290,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001001723,"03","راننده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,71,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001001716,"03","ضايعاتي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,284,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10001000520,"03","فروشنده",1,2,NA,1,NA,1,NA,NA,NA,"000006","19",5,224,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001001312,"02","بازنشسته",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,353,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10005004923,"02","باربر كارخانه",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,73,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10005004916,"02","درامد بدون كار",1,2,NA,1,NA,1,NA,NA,NA,"000004","17",5,275,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10005004908,"02","كارگر روز مزد ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,96,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001002512,"02","گچ كار ساختمان",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,67,0,"Admin",NA,"Admin",NA,1,NA,NA,NA,NA,NA
10001002508,"02","فروشنده ضايعات",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,249,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001002516,"02","راننده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,85,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10010008523,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,191,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10010008513,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,62,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10010008512,"02","منشي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,283,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001001308,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,231,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001001316,"02","فروشنده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,226,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001001313,"02","راننده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,325,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001001323,"02","كارمند",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,227,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10001000513,"03","مكانيك",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,145,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001000512,"03","كارگر مبل سازي",1,2,NA,1,NA,1,NA,NA,NA,"000003","10",5,66,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001001720,"03","بيكار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,296,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001001713,"03","از كار افتاده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10005004516,"03","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,56,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10011009312,"04","کارگر ساده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,53,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10005004523,"04","کارگر بسته  بند",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,64,0,"Admin",NA,"Admin","Admin",1,NA,NA,NA,NA,NA
10004004108,"03","كارگر ساده ساختماني",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,174,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10004004113,"03","درامد بدون كار",1,2,NA,1,NA,1,NA,NA,NA,"000003","17",5,53,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10004004120,"03","نظامي",1,2,NA,3,NA,1,NA,NA,NA,"000004","22",4,337,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10004004114,"03","درامد بدون كار",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,187,1,"Admin",NA,"Admin","Admin",1,NA,NA,NA,NA,NA
10009007720,"03","كارخانه سنگ",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,98,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10006005313,"03","درامد بدون كار",1,2,NA,1,NA,1,NA,NA,NA,"000002","17",5,256,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10006005323,"03","مكانيك",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,342,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10006005316,"03","راننده ماشين سنگين",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,189,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10006005320,"03","درامد بدون كار",1,2,NA,1,NA,1,NA,NA,NA,"000003","24",4,87,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10011009323,"04","کارگر کشاورزي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,191,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10005004508,"04","کارگر ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,279,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10005004513,"03","الکتريکي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,172,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10011009313,"04","کارگر ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,251,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10002002913,"03","كارگر ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,188,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10006005312,"03","درامد بدون كار",1,2,NA,1,NA,1,NA,NA,NA,"000002","07",4,289,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10002002920,"03","دامدار",1,2,NA,1,NA,1,NA,NA,NA,"000021","21",4,231,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10002002912,"03","خوار بار فروش",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,52,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10002002923,"03","سوپر ماركت",1,2,NA,1,NA,1,NA,NA,NA,"000021","19",4,163,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10002002916,"03","درامد بدون كار",1,2,NA,1,NA,1,NA,NA,NA,"000062","14",4,49,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10007006920,"04","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,263,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10007006908,"04","درامد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"000002","07",4,223,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10004004123,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,277,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10005004512,"04","ابدارچي كارخانه فرش",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,100,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10007006917,"04","مديرمصالح ساختماني",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,51,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10007006923,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,72,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10007006916,"04","راننده",1,2,NA,1,NA,1,NA,NA,NA,"000006","18",4,258,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10002002909,"03","درامد بدون كار",1,2,NA,1,NA,1,NA,NA,NA,"000018","10",5,183,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10006005308,"03","نقاش",1,2,NA,1,NA,1,NA,NA,NA,"000002","10",5,178,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001000920,"04","بازنشسته",1,2,NA,1,NA,1,NA,NA,NA,"000009","22",5,206,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001000913,"04","کارگر المينيوم",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,254,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10005004520,"04","توليد الياف",1,2,NA,1,NA,1,NA,NA,NA,"000003","19",4,227,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10009008112,"04","معلم",1,2,NA,1,NA,1,NA,NA,NA,"000003","10",4,151,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10004004112,"03","تعمير ماشين الات",1,2,NA,1,NA,1,NA,NA,NA,"000002","10",5,83,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10009008116,"04","معلم",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,162,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10009008113,"04","درامد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"000004","18",4,41,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10007006912,"04","داراي درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,62,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
