"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15"
20013397412,"01",1,"9314","41000",3,"8",3,"0004000000","0075000000","0004000000","0075000000","0","0","4000000","75000000"
20013397420,"01",1,"7233","13110",3,"8",6,"0019760000","0258120000","0018837867","0226054404","0","0021000000","18837867","247054404"
20001385009,"05",1,"8153","13910",3,"8",3,"0007000000","0070000000","0007000000","0070000000","0","0","7000000","70000000"
20001385009,"06",1,"7127","35200",3,"8",4,"0014000000","0168000000","0013346667","0160160004","0","0","13346667","160160004"
20007392223,"01",1,"9314","41000",3,"10",7,"0012000000","0144000000","0012000000","0144000000","0","0","12000000","144000000"
20007391017,"03",1,"9321","11040",3,"10",6,"0015000000","0180000000","0014300000","0171600000","0","0008000000","14300000","179600000"
20007391015,"01",1,"9214","84110",3,"10",6,"0018000000","0216000000","0015370000","0184440000","0","0008000000","15370000","192440000"
20006389423,"01",1,"8344","32500",3,"12",7,"0025000000","0318000000","0023833334","0286000008","0","0018000000","23833334","304000008"
20010393407,"03",1,"9211","01500",3,"8",3,"0","0040000000","0","0040000000","0","0","0","40000000"
20006389411,"01",1,"5153","13120",3,"12",7,"0017000000","0222000000","0016206667","0194480004","0","0018000000","16206667","212480004"
20006389411,"04",2,"1412","56100",3,NA,NA,"0","0024000000","0","0024000000","0","0","0","24000000"
20007391020,"01",1,"7213","31000",3,"9",7,"0016000000","0192000000","0015255000","0183060000","0","0","15255000","183060000"
20010393420,"01",2,"9329","25990",3,NA,NA,"0","0120000000","0","0120000000","0","0","0","120000000"
20006389414,"01",1,"5153","96092",3,"8",7,"0020000000","0270000000","0019066667","0228800004","0","0030000000","19066667","258800004"
20006389414,"03",2,"3112","41000",3,NA,NA,"0","0051000000","0","0051000000","0","0","0","51000000"
20104399608,"01",1,"9314","43900",3,"10",3,"0007000000","0068000000","0007000000","0068000000","0","0","7000000","68000000"
20104399608,"03",1,"9314","43900",3,"10",5,"0010000000","0128000000","0010000000","0128000000","0","0","10000000","128000000"
20108402411,"01",1,"9112","45100",3,"8",6,"0010000000","0130000000","0010000000","0120000000","0","0010000000","10000000","130000000"
20104399623,"01",1,"7511","10101",3,"8",6,"0012000000","0156000000","0011440000","0137280000","0","0012000000","11440000","149280000"
20104399620,"01",1,"9333","47520",3,"5",4,"0004000000","0048000000","0004000000","0048000000","0","0","4000000","48000000"
20101398311,"01",1,"7212","25920",3,"10",6,"0012000000","0164000000","0012000000","0144000000","0","0020000000","12000000","164000000"
20101398320,"01",2,"9314","43900",3,NA,NA,"0","0058000000","0","0058000000","0","0","0","58000000"
20112404210,"02",1,"9211","01120",3,"10",4,"0008000000","0040000000","0008000000","0040000000","0","0","8000000","40000000"
20104399220,"01",1,"9211","01120",3,"9",4,"0010000000","0050000000","0010000000","0050000000","0","0","10000000","50000000"
20111403620,"01",1,"9211","01411",3,"5",7,"0009000000","0108000000","0008580000","0102960000","0","0","8580000","102960000"
20104399214,"01",1,"9314","43900",3,"11",4,"0004500000","0066000000","0004500000","0066000000","0","0","4500000","66000000"
20104399207,"01",1,"7231","45200",3,"12",6,"0012000000","0140000000","0012000000","0140000000","0","0","12000000","140000000"
20102398823,"02",1,"9211","01120",3,"9",6,"0024000000","0045000000","0024000000","0045000000","0","0","24000000","45000000"
20106401023,"01",1,"5153","23940",3,"8",6,"0030000000","0385000000","0027900000","0334800000","0","0025000000","27900000","359800000"
20104399217,"01",1,"9211","01120",3,"10",3,"0004000000","0030000000","0004000000","0030000000","0","0","4000000","30000000"
20104399217,"01",2,"9314","43900",3,NA,NA,"0","0048000000","0","0048000000","0","0","0","48000000"
20108401913,"01",1,"8322","84130",1,"8",6,"0019000000","0290000000","0018114000","0217368000","0","0062000000","18114000","279368000"
20108401923,"01",1,"9211","01120",3,"9",2,"0005000000","0015000000","0005000000","0015000000","0","0","5000000","15000000"
20114405115,"01",1,"9314","43900",3,"8",6,"0015000000","0160000000","0015000000","0160000000","0","0","15000000","160000000"
20114405117,"01",1,"1115","84110",1,"5",6,"0008000000","0096000000","0008000000","0096000000","0","0","8000000","96000000"
20109402808,"01",1,"9211","01120",3,"8",3,"0008000000","0025000000","0008000000","0025000000","0","0","8000000","25000000"
20109402811,"01",1,"5153","42900",3,"8",7,"0009420000","0113040000","0009000000","0108000000","0","0","9000000","108000000"
20115405508,"01",2,"9329","10610",3,NA,NA,"0","0048000000","0","0048000000","0","0","0","48000000"
20115405508,"01",2,"9314","43900",3,NA,NA,"0","0025000000","0","0025000000","0","0","0","25000000"
20105400114,"03",1,"3122","01462",3,"8",6,"0020000000","0264000000","0019067000","0228804000","0","0024000000","19067000","252804000"
20105400108,"01",1,"5120","56100",3,"8",7,"0015000000","0215000000","0015000000","0180000000","0","0035000000","15000000","215000000"
20115405515,"01",1,"9211","01120",3,"8",3,"0008000000","0068000000","0008000000","0068000000","0","0","8000000","68000000"
