"Address","MahMorajeh","Fasl","weight","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin"
22406645320,"04",1,347.0439674794,1,2,NA,1,NA,1,NA,NA,NA,"033516","19"
22406645308,"04",1,347.0439674794,1,2,NA,1,NA,1,NA,NA,NA,"033492","09"
22406645311,"04",1,347.0439674794,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22406645314,"04",1,347.0439674794,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22406645315,"04",1,347.0439674794,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22405644111,"04",1,242.869182742783,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22405644120,"04",1,242.869182742783,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22405644123,"04",1,242.869182742783,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22405644117,"04",1,242.869182742783,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22405644108,"04",1,242.869182742783,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22405644114,"04",1,242.869182742783,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22410647711,"04",1,257.850183839103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22410647723,"04",1,257.850183839103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22410647708,"04",1,257.850183839103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22405643709,"03",1,242.869182742783,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22405643714,"03",1,242.869182742783,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22405643720,"03",1,242.869182742783,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22405643717,"03",1,242.869182742783,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22405643723,"03",1,242.869182742783,1,2,NA,2,NA,1,NA,NA,NA,"034846","22"
22405643711,"03",1,242.869182742783,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22403641717,"04",1,295.51463047816,1,2,NA,1,NA,1,NA,NA,NA,"030738","18"
22403641708,"04",1,295.51463047816,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22403641720,"04",1,295.51463047816,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22403641723,"04",1,295.51463047816,1,2,NA,2,NA,1,NA,NA,NA,"030738","21"
22403641711,"04",1,295.51463047816,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22403641714,"04",1,295.51463047816,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22404642912,"04",1,300.616403427522,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22404642917,"04",1,300.616403427522,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22404642920,"04",1,300.616403427522,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22404642923,"04",1,300.616403427522,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22404642911,"04",1,300.616403427522,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22404642914,"04",1,300.616403427522,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22408646523,"04",1,249.420918929255,1,2,NA,3,NA,1,NA,NA,NA,"000005","21"
22408646508,"04",1,249.420918929255,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22408646516,"04",1,249.420918929255,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22408646517,"04",1,249.420918929255,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22408646520,"04",1,249.420918929255,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22408646511,"04",1,249.420918929255,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501652923,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501652920,"02",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"000075","24"
22501652917,"02",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"000074","18"
22501652914,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501652911,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501652907,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501654107,"02",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"000051","12"
22501654111,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501654114,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501654115,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501654120,"02",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"000053","21"
22501654123,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501651723,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501651715,"02",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"000018","17"
22501651714,"02",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"000017","16"
22501651709,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501651720,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501651711,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501649308,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501649311,"02",1,47.9564102564103,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501649314,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501649316,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501649320,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501649323,"02",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"825004","21"
22501654508,"03",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"007186","07"
22501654511,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501654514,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501654515,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501654520,"03",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"007187","21"
22501654523,"03",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"007187","24"
22501648908,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501648912,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501648915,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501648918,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501648920,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501648923,"02",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"005563","22"
22501648107,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501648109,"03",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"006208","12"
22501648114,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501648117,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501648120,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501648123,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501649707,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501649712,"03",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"005895","10"
22501649713,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501649714,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501649720,"03",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"005895","19"
22501649723,"03",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"005895","22"
