"Address","MahMorajeh","NeshaniSarparast","NameSarparast","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
1270129003,"04",NA,NA,"راننده بيل مکانيکي",1,1,NA,2,NA,NA,NA,3,624,0,"Admin",NA,"Admin",NA
1270129005,"04",NA,NA,"فروشنده لوازم و محصولات کشاورزي",1,1,NA,2,NA,NA,NA,4,633,0,"Admin",NA,"Admin",NA
1270129001,"04",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,4,514,0,"Admin",NA,"Admin",NA
1270077001,"04",NA,NA,"ابدارچي شرکت سدسازي",1,1,NA,2,NA,NA,NA,3,798,0,"Admin",NA,"Admin",NA
1270077002,"04",NA,NA,"حق العمل کار",1,1,NA,2,NA,NA,NA,3,741,0,"Admin",NA,"Admin",NA
1270077003,"04",NA,NA,"راننده شرکت آب راه شمال",1,1,NA,2,NA,NA,NA,4,939,0,"Admin",NA,"Admin",NA
1270077004,"04",NA,NA,"راننده ميني بوس",1,1,NA,2,NA,NA,NA,4,808,2,"Admin",NA,"Admin",NA
1270077005,"04",NA,NA,"نگهبان شرکت نادران",1,1,NA,2,NA,NA,NA,3,660,2,"Admin",NA,"Admin",NA
1270033001,"04",NA,NA,"زراعتکار",1,1,NA,1,"عدم دسترسي به خانوار و غيبت آنها","000009","006",3,652,0,"Admin",NA,"Admin",NA
1270033002,"04",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,3,307,0,"Admin",NA,"Admin",NA
1270033003,"04",NA,NA,"راننده آژانس",1,1,NA,2,NA,NA,NA,3,548,0,"Admin",NA,"Admin",NA
1270033004,"04",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,4,557,0,"Admin",NA,"Admin",NA
1270033005,"04",NA,NA,"فروشنده بقالي",1,1,NA,2,NA,NA,NA,4,747,0,"Admin",NA,"Admin",NA
1270093001,"03",NA,NA,"اجراي تيرچه و بلوک ساختمان",1,1,NA,2,NA,NA,NA,4,989,0,"Admin",NA,"Admin",NA
1270093002,"03",NA,NA,"زراعتکار گندم",1,1,NA,2,NA,NA,NA,3,776,0,"Admin",NA,"Admin",NA
1270093003,"03",NA,NA,"دبير ادبيات",1,1,NA,1,"خالي از سکنه بودن مکان خانوار اصلي","000004","006",3,859,0,"Admin",NA,"Admin",NA
1270093004,"03",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,3,596,0,"Admin",NA,"Admin",NA
1270093005,"03",NA,NA,"راننده سواري",1,1,NA,2,NA,NA,NA,3,757,0,"Admin",NA,"Admin",NA
