"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc1","JaygozinDesc2","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
1190117167,"04","کارگر زراعت",1,1,NA,2,NA,NA,NA,NA,4,913,0,"Admin",NA,"Admin",NA
1190077060,"03","كارگر ساختماني",1,1,NA,2,NA,NA,NA,NA,5,912,0,"Admin",NA,"Admin",NA
1190077067,"03","داراي درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,4,970,0,"Admin",NA,"Admin",NA
1190077071,"03","اپراتور دستگاه دولاتابي",1,1,NA,2,NA,NA,NA,NA,5,1053,1,"Admin",NA,"Admin",NA
1190077057,"03","راننده",1,1,NA,1,1,NA,"000002","058",5,745,0,"Admin",NA,"Admin",NA
1190077065,"03","فروشنده سوپرماركت",1,1,NA,2,NA,NA,NA,NA,4,613,0,"Admin",NA,"Admin",NA
1190089105,"03","داراي درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,728,0,"Admin",NA,"Admin",NA
1190089108,"03","مسئول رسيدگي به قراردادها",1,1,NA,1,1,NA,"000004","106",5,1131,1,"Admin",NA,"Admin",NA
1190089114,"03","جوشكار",1,1,NA,2,NA,NA,NA,NA,5,454,1,"Admin",NA,"Admin",NA
1190089116,"03","راننده",1,1,NA,1,1,NA,"000004","115",5,325,0,"Admin",NA,"Admin",NA
1190089111,"03","راننده تاكسي",1,1,NA,2,NA,NA,NA,NA,5,699,0,"Admin",NA,"Admin",NA
1190073111,"02","كارشناس مركز تحقيقات كشاورزي",1,1,NA,2,NA,NA,NA,NA,5,1290,0,"Admin",NA,"Admin",NA
1190073109,"02","انبار دار",1,1,NA,2,NA,NA,NA,NA,4,1279,0,"Admin",NA,"Admin",NA
1190073120,"02","بنگاه ماشين",1,1,NA,2,NA,NA,NA,NA,4,1059,0,"Admin",NA,"Admin",NA
1190073115,"2","داراي درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,4,836,0,"Admin",NA,"Admin",NA
1190073117,"02","راننده",1,1,NA,2,NA,NA,NA,NA,5,806,0,"Admin",NA,"Admin",NA
1190041202,"03","داراي درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,657,0,"Admin",NA,"Admin",NA
1190041194,"03","نگهبان",1,1,NA,2,NA,NA,NA,NA,5,576,0,"Admin",NA,"Admin",NA
1190041197,"03","كارگر ساختماني",1,1,NA,1,1,NA,"000003","195",4,593,0,"Admin",NA,"Admin",NA
1190041198,"03","داراي درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,4,421,1,"Admin",NA,"Admin",NA
1190041189,"03","داراي درامد بدون كار",1,1,NA,1,2,NA,"000003","190",4,310,0,"Admin",NA,"Admin",NA
1190069114,"04","داراي درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,4,1099,1,"Admin",NA,"Admin",NA
1190069117,"04","رئيس حسابداري",1,1,NA,1,1,NA,"000003","115",5,859,0,"Admin",NA,"Admin",NA
1190069106,"04","داراي درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,4,758,0,"Admin",NA,"Admin",NA
1190069110,"04","داراي درامد بدون كار",1,1,NA,1,1,NA,"000003","109",4,734,0,"Admin",NA,"Admin",NA
1190021001,"04","داراي درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,4,981,0,"Admin",NA,"Admin",NA
1190021009,"04","داراي درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,704,0,"Admin",NA,"Admin",NA
1190021010,"04","داراي درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,4,1027,0,"Admin",NA,"Admin",NA
1190021014,"04","تعميركار لوازم برقي",1,1,NA,1,1,NA,"000013","015",4,973,0,"Admin",NA,"Admin",NA
1190021004,"04","از كار افتاده",1,1,NA,1,1,NA,"000012","005",4,722,0,"Admin",NA,"Admin",NA
1190069104,"04","نصاب كابينت",1,1,NA,2,NA,NA,NA,NA,4,715,0,"Admin",NA,"Admin",NA
1190037054,"02","کارگرريخته گري سرب وروي",1,1,NA,2,NA,NA,NA,NA,5,744,0,"Admin",NA,"Admin",NA
1190037056,"02","کارگر شهرداري",1,1,NA,2,NA,NA,NA,NA,5,692,0,"Admin",NA,"Admin",NA
1190037059,"02","لحاف دوز",1,1,NA,2,NA,NA,NA,NA,4,775,0,"Admin",NA,"Admin",NA
1190037047,"02","سوپر مارکت",1,1,NA,1,1,NA,"000011","049",5,1193,0,"Admin",NA,"Admin",NA
1190037052,"02","داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,NA,4,1022,0,"Admin",NA,"Admin",NA
1190098151,"05","داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,NA,4,664,0,"Admin",NA,"Admin",NA
1190098155,"05","داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,NA,3,626,0,"Admin",NA,"Admin",NA
1190098159,"05","راننده وانت",1,1,NA,2,NA,NA,NA,NA,5,717,0,"Admin",NA,"Admin",NA
