"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc1","JaygozinDesc2","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
2210071014,"10","باغدار",1,1,NA,2,NA,NA,NA,NA,5,411,2,"Admin",NA,"Admin","Admin"
2210071011,"10","دامدار",1,1,NA,2,NA,NA,NA,NA,5,757,3,"Admin",NA,"Admin","Admin"
2210071009,"10","کارشناس اطاق فرمان",1,1,NA,2,NA,NA,NA,NA,5,719,0,"Admin",NA,"Admin","Admin"
2210071005,"10","کابينت ساز",1,1,NA,2,NA,NA,NA,NA,5,430,0,"Admin",NA,"Admin","Admin"
2210063009,"10","باغدار",1,1,NA,2,NA,NA,NA,NA,5,1041,1,"Admin",NA,"Admin","Admin"
2210063010,"10","باغدار",1,1,NA,1,2,NA,"000002","012",5,502,2,"Admin",NA,"Admin","Admin"
2210063015,"10","باغدار",1,1,NA,2,NA,NA,NA,NA,5,858,0,"Admin",NA,"Admin","Admin"
2210067057,"10","باغدار",1,1,NA,2,NA,NA,NA,NA,5,612,0,"Admin",NA,"Admin","Admin"
2210067061,"10","نقاش ساختمان",1,1,NA,2,NA,NA,NA,NA,5,522,0,"Admin",NA,"Admin","Admin"
2210067063,"10","درامد بدون کار",1,1,NA,2,NA,NA,NA,NA,5,714,0,"Admin",NA,"Admin","Admin"
2210067067,"10","راننده وانت",1,1,NA,2,NA,NA,NA,NA,5,551,1,"Admin",NA,"Admin","Admin"
2210067070,"10","مسئول خريد شرکت سنگبري سبلان",1,1,NA,2,NA,NA,NA,NA,5,837,0,"Admin",NA,"Admin","Admin"
2210015051,"09","کارگر کشاورز",1,1,NA,2,NA,NA,NA,NA,5,295,0,"Admin",NA,"Admin","Admin"
2210015053,"09","کارگر کشاورز",1,1,NA,2,NA,NA,NA,NA,5,248,1,"Admin",NA,"Admin","Admin"
2210131055,"10","کمک راننده تريلي",1,1,NA,2,NA,NA,NA,NA,5,469,1,"Admin",NA,"Admin","Admin"
2210131058,"10","ميوه فروش",1,1,NA,2,NA,NA,NA,NA,5,1056,2,"Admin",NA,"Admin","Admin"
2210131060,"10","راننده تريلي",1,1,NA,2,NA,NA,NA,NA,5,865,0,"Admin",NA,"Admin","Admin"
2210131063,"10","درآمد بدون کار",1,1,NA,2,NA,NA,NA,NA,5,348,0,"Admin",NA,"Admin","Admin"
2210131066,"10","کمک راننده تريلي",1,1,NA,2,NA,NA,NA,NA,5,578,1,"Admin",NA,"Admin","Admin"
2210015061,"09","دبير دبيرستان",1,1,NA,2,NA,NA,NA,NA,5,616,1,"Admin",NA,"Admin","Admin"
2210015057,"09","درامد بدون کار",1,1,NA,2,NA,NA,NA,NA,5,176,0,"Admin",NA,"Admin","Admin"
2210015048,"09","دامدار",1,1,NA,2,NA,NA,NA,NA,5,591,0,"Admin",NA,"Admin","Admin"
2210003120,"10","درآمد بدون کار",1,1,NA,1,2,NA,"000055","121",5,373,0,"Admin",NA,"Admin","Admin"
2210003114,"10","درآمد بدون کار",1,1,NA,2,NA,NA,NA,NA,5,487,3,"Admin",NA,"Admin","Admin"
2210003112,"10","دامدار",1,1,NA,2,NA,NA,NA,NA,5,868,1,"Admin",NA,"Admin","Admin"
2210003118,"10","باغدار",1,1,NA,2,NA,NA,NA,NA,5,759,0,"Admin",NA,"Admin","Admin"
2210003125,"10","مرغداري",1,1,NA,1,2,NA,"000058","124",5,986,3,"Admin",NA,"Admin","Admin"
2210119101,"10","زارع",1,1,NA,2,NA,NA,NA,NA,5,942,0,"Admin",NA,"Admin","Admin"
2210119107,"10","دامدار",1,1,NA,2,NA,NA,NA,NA,5,805,0,"Admin",NA,"Admin","Admin"
2210119115,"10","زارع",1,1,NA,2,NA,NA,NA,NA,5,891,0,"Admin",NA,"Admin","Admin"
2210151015,"10","کشاورز",1,1,NA,1,2,NA,"000003","014",5,805,3,"Admin",NA,"Admin","Admin"
2210151003,"10","کارگر معدن",1,1,NA,1,2,NA,"000001","001",5,607,1,"Admin",NA,"Admin","Admin"
2210151006,"10","کارگر معدن",1,1,NA,2,NA,NA,NA,NA,5,577,0,"Admin",NA,"Admin","Admin"
2210151012,"10","دبير ادبيات",1,1,NA,2,NA,NA,NA,NA,5,680,1,"Admin",NA,"Admin","Admin"
2210087194,"10","کارگر کارخانه",1,1,NA,2,NA,NA,NA,NA,5,595,0,"Admin",NA,"Admin","Admin"
2210087196,"10","راننده کاميون",1,1,NA,2,NA,NA,NA,NA,5,704,0,"Admin",NA,"Admin","Admin"
2210087201,"10","کارگر کارخانه",1,1,NA,1,1,NA,"000011","199",5,721,0,"Admin",NA,"Admin","Admin"
2210087202,"10","کارگر بنا",1,1,NA,2,NA,NA,NA,NA,4,479,1,"Admin",NA,"Admin","Admin"
2210087205,"10","درآمد بدون کار",1,1,NA,1,1,NA,"000012","206",5,654,1,"Admin",NA,"Admin","Admin"
2210127047,"10","کارگر ساده",1,1,NA,2,NA,NA,NA,NA,5,472,1,"Admin",NA,"Admin","Admin"
2210127049,"10","کارگر کشاورز",1,1,NA,2,NA,NA,NA,NA,5,937,0,"Admin",NA,"Admin","Admin"
2210127054,"10","کشاورز",1,1,NA,2,NA,NA,NA,NA,5,788,0,"Admin",NA,"Admin","Admin"
2210127056,"10","کشاورز",1,1,NA,2,NA,NA,NA,NA,5,824,6,"Admin",NA,"Admin","Admin"
2210127058,"10","دامداري",1,1,NA,2,NA,NA,NA,NA,5,456,1,"Admin",NA,"Admin","Admin"
2210011050,"09","درآمد بدون کار",1,1,NA,1,2,NA,"245056","048",5,256,0,"Admin",NA,"Admin","Admin"
2210011053,"09","دامداري",1,1,NA,2,NA,NA,NA,NA,5,521,0,"Admin",NA,"Admin","Admin"
2210011054,"09","کشاورز",1,1,NA,1,2,NA,"245067","056",5,322,0,"Admin",NA,"Admin","Admin"
2210011058,"09","کميته امداد",1,1,NA,2,NA,NA,NA,NA,5,351,0,"Admin",NA,"Admin","Admin"
2210147279,"10","کارمند جهاد کشاورزي",1,1,NA,2,NA,NA,NA,NA,5,648,2,"Admin",NA,"Admin","Admin"
2210147281,"10","بازنشسته",1,1,NA,2,NA,NA,NA,NA,5,480,2,"Admin",NA,"Admin","Admin"
2210147283,"10","کارگر ذغال شويي",1,1,NA,2,NA,NA,NA,NA,5,384,0,"Admin",NA,"Admin","Admin"
2210147287,"10","کارگر ذوب آهن",1,1,NA,2,NA,NA,NA,NA,5,494,1,"Admin",NA,"Admin","Admin"
2210147289,"10","انتظامات ذوب آهن",1,1,NA,1,2,NA,"151863","291",5,659,3,"Admin",NA,"Admin","Admin"
2210011062,"09",NA,NA,2,NA,1,2,"10",NA,NA,5,1,0,"Admin",NA,NA,"Admin"
2210019066,"08","دبير راهنمايي",1,1,NA,2,NA,NA,NA,NA,5,695,1,"Admin",NA,"Admin","Admin"
2210032195,"11","محمد رضا مسلمي",1,1,NA,2,NA,NA,NA,NA,5,235,0,"Admin",NA,"Admin","Admin"
2210032196,"11","دامدار",1,1,NA,2,NA,NA,NA,NA,5,559,1,"Admin",NA,"Admin","Admin"
2210032200,"11","باغدار",1,1,NA,2,NA,NA,NA,NA,5,463,0,"Admin",NA,"Admin","Admin"
2210032203,"11","توليد محصولات كشاورزي",1,1,NA,2,NA,NA,NA,NA,5,981,2,"Admin",NA,"Admin","Admin"
2210032207,"11","كاشي كار",1,1,NA,2,NA,NA,NA,NA,5,280,1,"Admin",NA,"Admin","Admin"
2210028048,"11","با درآمد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,81,0,"Admin",NA,"Admin","Admin"
2210028053,"11","باردآمد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,97,0,"Admin",NA,"Admin","Admin"
2210028055,"11","با درآمد بدون كار",1,1,NA,1,3,NA,"245918","054",5,648,1,"Admin",NA,"Admin","Admin"
2210028059,"11","باغدار",1,1,NA,1,2,NA,"245918","058",5,660,1,"Admin",NA,"Admin","Admin"
2210028061,"11","باغدار",1,1,NA,2,NA,NA,NA,NA,5,773,0,"Admin",NA,"Admin","Admin"
2210100229,"11","كارگر نظافت شهرداري",1,1,NA,2,NA,NA,NA,NA,5,1060,1,"Admin",NA,"Admin","Admin"
2210100232,"11","نگهبان شركت بسته بندي مرغ",1,1,NA,2,NA,NA,NA,NA,5,1073,0,"Admin",NA,"Admin","Admin"
