"ADDRESS","COL1","COL3","COL4","COL5"
"001141109",33134,1,8e+07,0
"001071057",33134,1,3.5e+07,0
"001071057",33167,1,350000,0
"001081075",34181,1,6e+06,0
"001151111",33112,1,2.5e+07,0
"001032014",33258,1,1600000,0
"001012003",33145,1,6e+06,0
"001052043",33145,1,4e+06,0
"001092077",33190,1,5e+05,0
"001072063",33189,1,750000,0
"001122098",33190,1,5e+06,0
"001032012",33190,1,1500000,0
"001032012",33258,1,2800000,0
"001162115",33112,1,1.2e+07,0
"001162115",34192,1,11200000,0
"001082069",33190,1,2e+06,0
"001052046",33258,1,1660000,0
"001072059",33258,1,1900000,0
"001022008",33190,1,1e+07,0
"001072063",33190,1,5870000,0
"001012002",33190,1,1300000,0
"001072063",33214,1,280000,0
"001022007",34160,1,2100000,0
"001022007",34181,1,1e+06,0
"001052031",33112,1,4e+05,0
"001052045",33214,1,7e+05,0
"001052045",33236,1,6e+05,0
"001132102",33190,1,6450000,0
"001072063",33269,1,1e+06,0
"001092080",33190,1,2500000,0
"001042022",33190,1,8e+06,0
"001042025",33112,1,1.2e+07,0
"001112088",33190,1,1.2e+07,0
"001112089",33236,1,770000,0
"001142106",33258,1,2800000,0
"001042021",33190,1,4e+06,0
"001142107",33190,1,750000,0
"001102085",33190,1,2e+06,0
"001113090",33236,1,2e+06,0
"001023008",33190,1,1.4e+07,0
"001083069",33190,1,4150000,0
"001083069",33258,1,2868000,0
"001043019",33190,1,6e+06,0
"001053041",33145,1,12500000,0
"001053041",33156,1,125000,0
"001053043",33145,1,6.6e+08,0
"001083064",33145,1,1300000,0
"001083064",33156,1,4e+05,0
"001083064",33167,1,3e+05,0
"001113092",33190,1,9e+06,0
"001133102",34181,1,1.2e+07,0
"001093074",33145,1,1.2e+07,0
"001093074",33214,1,450000,0
"001053046",33190,1,1e+07,0
"001043018",33236,1,1350000,0
"001053038",33190,1,2500000,0
"001023006",33190,1,2500000,0
"001023006",34228,1,4800000,0
"001043016",33190,1,1e+07,0
"001053050",33236,1,273500,0
"001083062",34181,1,1400000,0
"001083065",33190,1,6e+06,0
"001153110",34181,1,1500000,0
"001023001",33112,1,1e+07,0
"001053050",34228,1,125000,0
"001123098",33190,1,1660000,0
"001113087",33112,1,5e+06,0
"001163115",34228,1,2500000,0
"001063055",34181,1,2e+06,0
"001084064",33112,1,7800000,0
"001024005",33112,1,1e+07,0
"001054031",33190,1,5e+06,0
"001084069",33269,1,4100000,0
"001104082",33112,1,5400000,0
"001104082",33145,1,1100000,0
"001114087",33189,1,1.2e+07,0
"001114087",33269,1,1e+07,0
"001124098",33190,1,3e+07,0
"001124100",33145,1,7600000,0
"001164114",33236,1,420000,0
"001054042",33190,1,5e+06,0
"001074051",33112,1,8e+06,0
"001074056",33190,1,2e+07,0
"001084067",33134,1,1.8e+08,0
"001084067",33156,1,1800000,0
"001104076",34228,1,1.5e+07,0
"001104080",33190,1,3e+06,0
"001114093",33440,1,1400000,0
"001144101",33190,1,6e+06,0
"001144102",33190,1,3e+06,0
"002071069",33190,1,3500000,0
"002141098",34228,1,1500000,0
"002041045",34170,1,1200000,0
"002191123",33190,1,3500000,0
"002191123",34170,1,5e+05,0
"002021027",33190,1,2.4e+07,0
"002051054",33190,1,4500000,0
"002021031",33190,1,8e+06,0
"002041044",33190,1,2e+06,0
"002071063",33190,1,1e+06,0
"002021040",33190,1,5e+06,0
"002201129",33112,1,1e+07,0
"002021039",33190,1,2e+06,0
"002021028",33190,1,1e+07,0
"002051047",33258,1,1e+06,0
"002081082",34170,1,127000,0
"002081083",33190,1,5e+06,0
"002101095",33112,1,7e+06,0
"002011012",33112,1,3e+07,0
"002021019",33190,1,2500000,0
"002021036",34170,1,1500000,0
"002061058",33112,1,4e+07,0
"002071072",34170,1,2e+05,0
"002101088",34170,1,150000,0
"002101088",34228,1,2500000,0
"002151110",34170,1,520000,0
"002211132",33190,1,1e+06,0
"002151109",34170,1,512000,0
"002041042",34170,1,1500000,0
"002201130",33316,1,2e+06,0
"002021034",34170,1,2e+05,0
"002041043",34170,1,1e+06,0
"002051051",33190,1,7e+06,0
"002071077",34170,1,1e+05,0
"002071078",33190,1,1e+07,0
"002081085",34170,1,520000,0
"002101087",34170,1,350000,0
"002101088",34239,1,80000,0
"002101090",33190,1,2e+06,0
"002101091",33112,1,6e+06,0
"002161111",33258,1,1850000,0
"002161112",33190,1,1e+07,0
"002161113",33258,1,1800000,0
"002191123",34239,1,2e+05,0
"002161114",33190,1,1.2e+07,0
"002161114",33258,1,2300000,0
"002061057",33112,1,1.2e+07,0
"002081083",34170,1,120000,0
"002011001",33190,1,1e+07,0
"002011001",33225,1,50000,0
"002011003",34160,NA,0,8.2e+07
"002011006",34170,1,350000,0
"002021020",33190,1,4e+06,0
"002021021",34170,1,5e+05,0
"002021024",33190,1,1400000,0
"002021031",34170,1,1100000,0
"002041041",34170,1,1400000,0
"002041044",34170,1,250000,0
"002051046",33258,1,1500000,0
"002051050",33258,1,1800000,0
"002061060",33112,1,1.5e+07,0
"002071065",34170,1,3e+06,0
"002071073",33258,1,1500000,0
"002071073",34170,1,1500000,0
"002071074",34170,1,1600000,0
"002071075",33190,1,2500000,0
"002071075",34170,1,170000,0
"002071078",34170,1,5e+05,0
"002071079",34170,1,85000,0
"002071080",34170,1,150000,0
"002081081",34170,1,250000,0
"002081084",33190,1,5e+06,0
"002081084",34170,1,345000,0
"002101092",33190,1,2800000,0
"002141096",34228,1,1e+06,0
"002141100",33214,1,2250000,0
"002151106",34170,1,250000,0
"002151107",34170,1,2e+05,0
"002151108",34170,1,2e+05,0
"002161112",33258,1,2e+06,0
"002161115",33258,1,2870000,0
"000011008",33112,1,1.2e+07,0
"000011027",33258,1,1500000,0
"000011029",33112,1,2.6e+07,0
"000011030",33258,1,2200000,0
"000031050",33269,1,2200000,0
"000031050",34181,1,7e+06,0
"000041058",34170,1,1e+05,0
"000011004",33190,1,8e+06,0
"000011004",34126,1,2e+07,0
"000011004",34148,NA,0,5e+06
"000011015",34170,1,1e+05,0
"000011033",33112,1,4500000,0
"000021042",33112,2,2.5e+07,0
"000041057",34170,1,80000,0
"000011032",33145,1,2e+07,0
"000011014",33190,1,6e+06,0
"000011014",34170,1,80000,0
"000071102",34170,1,80000,0
