"ADDRESS","COL01","COL03","COL04","COL05","COL06","COL07","COL08"
"001092077","01",9400000,0,6e+06,0,0,0
"001082070","01",0,0,0,0,0,1500000
"001082067","02",0,0,0,0,0,4e+05
"001112090","01",0,0,0,0,1800000,0
"001072057","01",0,0,0,0,0,8e+06
"001102082","01",0,3800000,0,1200000,0,0
"001122099","01",0,1500000,0,1400000,0,0
"001132105","01",0,330000,0,0,0,0
"001042025","01",0,0,0,0,3e+05,0
"001052040","01",0,5600000,0,0,0,0
"001062051","01",0,0,0,1220000,0,0
"001072060","01",0,0,0,0,0,2e+06
"001082068","01",0,0,0,1300000,50000,6e+05
"001092073","01",0,0,0,1480000,0,0
"001122096","01",0,0,0,1500000,0,0
"001032014","01",0,3e+05,0,1200000,0,0
"001052026","01",0,4e+06,0,0,0,2e+05
"001122098","01",0,4e+06,0,0,6200000,0
"001112087","01",0,0,0,1e+06,0,0
"001082069","01",0,0,0,0,1480000,3e+06
"001072059","01",0,0,0,0,1600000,0
"001022010","01",0,0,0,8e+05,0,0
"001072065","01",0,680000,0,0,0,0
"001102085","01",0,0,0,0,0,560000
"001022008","01",0,6e+06,0,0,0,0
"001052036","01",0,4500000,0,0,0,3e+06
"001052029","02",0,0,0,0,6e+05,0
"001102081","01",0,0,0,1610000,0,0
"001132104","01",0,0,0,0,0,7e+06
"001092072","01",0,0,0,0,1400000,0
"001012004","01",0,0,0,1200000,0,0
"001082066","01",0,160000,0,720000,0,4e+05
"001012001","01",0,2040000,0,0,0,0
"001022009","01",0,0,0,1200000,0,0
"001042018","01",0,3e+06,0,0,0,1e+06
"001042024","01",20670000,0,0,0,0,5e+06
"001052045","01",0,1.4e+07,0,0,0,2e+06
"001062054","01",0,0,0,8e+05,6e+05,5e+06
"001072058","01",0,540000,0,0,0,0
"001072064","01",0,3e+05,0,0,0,0
"001102084","01",0,4e+05,0,0,0,0
"001112088","01",0,0,0,450000,0,0
"001112089","01",0,0,0,1250000,0,0
