"ADDRESS","COL01","COL02","COL03","COL04","COL05","COL06","COL07","COL08","COL09","COL10","COL11","COL12","COL13"
101051038,"01",1,6111,"0111",1,1,2100000,90000,20000,1200000,0,1.8e+07,14590000
101051038,"01",1,5220,"5523",2,2,0,0,0,0,0,0,10800000
101081080,"01",1,6111,"0111",1,1,440000,160000,0,9350000,0,17500000,7550000
101051039,"01",1,7214,"4521",2,2,0,0,0,0,0,0,2.4e+07
101031020,"01",1,7124,"2022",2,2,0,0,0,0,0,0,5e+06
101051028,"01",1,2142,"4521",1,2,0,0,0,0,0,0,4.8e+07
101051025,"02",1,7501,"1724",2,2,0,0,0,0,0,0,3e+06
101051052,"01",1,1317,"2520",1,2,0,0,0,0,0,0,6e+07
101071075,"01",1,6111,"0111",1,1,2630000,212000,0,750000,0,4500000,908000
101071075,"01",1,7218,"5260",2,2,0,0,0,0,0,0,6e+06
101071071,"01",1,5220,"5231",2,2,0,0,0,0,0,0,1.8e+07
101051064,"01",1,7142,"5020",1,2,0,0,0,0,0,0,3.6e+07
101051064,"01",1,8322,"6021",2,2,0,0,0,0,0,0,10800000
101111092,"01",1,3429,"7130",2,2,0,0,0,2760000,0,3.6e+07,33240000
101101081,"01",1,5122,"5524",1,2,9e+06,8e+05,0,1920000,8e+05,28800000,16280000
101031017,"02",1,8221,"5231",3,2,0,0,0,0,0,0,0
101101083,"01",1,9111,"5259",2,2,0,0,0,0,0,0,1.4e+07
101051060,"01",1,1314,"5030",1,2,0,0,0,0,0,0,3e+07
101101084,"01",1,6111,"0111",1,1,1560000,75000,0,275000,0,1800000,-110000
101101084,"01",1,7135,"5020",2,2,0,0,0,2220000,0,15600000,13380000
101101084,"02",1,6111,"0111",3,1,0,0,0,0,0,0,0
101111087,"01",1,5220,"5145",2,2,0,0,0,0,0,0,3.6e+07
101021008,"03",1,8322,"6021",2,2,0,0,0,0,0,0,10800000
101011002,"05",1,5220,"5211",3,2,0,0,0,0,0,0,0
101151099,"01",1,7433,"1810",2,2,0,0,0,0,0,0,5760000
101081076,"01",1,6111,"0111",1,1,2110000,677500,0,2922500,0,7500000,1790000
101081076,"01",1,5220,"5239",2,2,0,0,0,480000,0,1e+07,9520000
101081076,"03",1,7442,"5260",2,2,0,0,0,3940000,0,12340000,8400000
101081077,"01",1,7126,"4521",2,2,0,0,0,0,0,0,14400000
101081077,"01",1,6111,"0111",1,1,737000,94000,0,591000,0,7e+05,-722000
101081077,"02",1,6111,"0111",3,1,0,0,0,0,0,0,0
101021008,"04",1,5141,"9302",2,2,0,0,0,0,0,0,14400000
101111094,"01",1,5220,"5238",2,2,0,0,0,0,0,0,5e+06
101111091,"01",1,2142,"7421",1,2,0,0,250000,9e+06,0,5e+07,40750000
101031014,"01",1,8322,"6021",2,2,0,0,0,0,0,0,1.8e+07
101051026,"01",1,5220,"5235",2,2,0,0,0,0,0,0,3.6e+07
101111086,"01",1,5220,"5229",2,2,0,0,0,0,0,0,1e+07
101111086,"01",1,5220,"5235",2,2,0,0,0,7800000,0,22800000,1.5e+07
101111086,"02",1,6111,"0111",2,1,1e+05,23500,0,0,0,6e+06,5876500
101111086,"03",2,5220,"5231",2,2,0,0,0,0,0,0,1620000
101111086,"04",1,5220,"5235",3,2,0,0,0,0,0,0,0
101081080,"02",1,6111,"0111",3,1,0,0,0,0,0,0,0
101051053,"02",1,7433,"1810",2,2,0,0,0,0,0,0,4800000
101021009,"01",1,5220,"5211",2,2,0,0,0,0,0,0,7200000
101052024,"01",1,6111,"0111",1,1,6300000,250000,60000,2770000,0,45360000,35980000
101032011,"01",1,6111,"0111",1,1,1500000,81000,0,1050000,0,12375000,9744000
101032013,"01",1,5220,"5211",2,2,0,0,0,0,0,0,2.4e+07
101072073,"01",1,6113,"0112",2,1,0,0,0,0,0,0,1e+06
101112091,"01",1,6111,"0111",2,1,80000,36500,250000,110000,0,3800000,3323500
101112091,"02",1,6111,"0111",3,1,0,0,0,0,0,0,0
101112091,"04",1,6111,"0111",3,1,0,0,0,0,0,0,0
101112091,"05",1,6111,"0111",3,1,0,0,0,0,0,0,0
101032015,"01",1,5220,"5223",2,2,0,0,0,0,0,0,3e+07
101042016,"01",1,6111,"0111",1,1,5990000,141000,2400000,160000,0,4e+07,31309000
101042016,"02",1,6111,"0111",3,1,0,0,0,0,0,0,0
101042017,"01",1,6112,"0111",2,1,150000,0,0,250000,0,2160000,1760000
101042017,"02",1,6112,"5129",2,1,70000,0,0,0,0,5e+06,4930000
101082076,"02",1,6111,"0111",2,1,0,90000,0,4e+05,0,0,-490000
101022006,"03",1,8322,"6021",2,2,0,0,0,0,0,0,3.6e+07
101022006,"04",1,8322,"6021",2,2,0,0,0,0,0,0,3.6e+07
101052028,"01",1,7141,"4540",2,2,0,0,0,0,0,0,2.4e+07
101052055,"01",1,5220,"5239",2,2,0,0,0,0,0,0,2.4e+07
101102083,"02",1,5141,"9302",2,2,0,0,0,0,0,0,1800000
101052048,"03",1,5220,"5235",2,2,0,0,0,0,0,0,3e+07
101022009,"01",1,6111,"0111",1,1,3e+05,72000,0,6e+05,0,8e+06,7028000
101022009,"01",1,5220,"5523",1,2,0,0,0,0,0,0,8400000
101022009,"03",1,6111,"0111",3,1,0,0,0,0,0,0,0
101022009,"03",1,5220,"5523",3,2,0,0,0,0,0,0,0
101082079,"01",1,7218,"5020",1,2,0,0,0,0,0,0,3.6e+07
101052047,"03",1,5220,"5235",1,2,0,0,0,0,0,0,3.6e+07
101052047,"04",1,5220,"5235",3,2,0,0,0,0,0,0,0
101012002,"01",1,6111,"0111",1,1,8e+05,3e+05,0,1e+06,0,7e+06,4900000
101162100,"01",1,5220,"5123",2,2,0,0,0,0,0,0,4e+07
101012003,"01",1,9211,"9305",2,2,0,0,0,0,0,0,21600000
101012004,"01",1,5220,"5236",2,2,0,0,0,0,0,0,16800000
101102085,"01",1,5220,"5236",2,2,0,0,0,0,0,0,3.6e+07
100021045,"01",1,8322,"6023",2,2,0,13800000,0,0,0,41400000,27600000
100021044,"01",1,5220,"5234",2,2,0,1.29e+08,0,850000,350000,1.56e+08,25800000
100011034,"01",1,5220,"5236",2,2,0,1.5e+07,0,0,0,2.4e+07,9e+06
100011037,"01",1,8322,"6022",2,2,0,6950000,1850000,380000,750000,31230000,21300000
100011040,"01",1,7218,"5020",2,2,0,3e+06,350000,450000,0,18800000,1.5e+07
100041048,"01",1,8322,"6022",2,2,0,8550000,2320000,0,380000,39300000,28050000
100041049,"01",1,8322,"6022",2,2,0,7850000,0,0,0,25850000,1.8e+07
100011001,"01",1,3413,"7020",2,2,0,520000,80000,1150000,850000,14600000,1.2e+07
100041047,"01",1,9111,"5259",2,2,0,7300000,3150000,430000,0,39680000,28800000
100011010,"01",1,8322,"6021",2,2,0,7850000,2660000,180000,750000,40640000,29200000
100011021,"02",1,5141,"9302",2,2,0,5e+05,620000,235000,0,5105000,3750000
100011030,"01",1,5220,"5238",2,2,0,28500000,3720000,11550000,740000,73360000,28850000
100061065,"01",1,5220,"5234",2,2,0,26500000,420000,1250000,2350000,72520000,4.2e+07
100061059,"01",1,7418,"1546",1,2,1.2e+08,86800000,19750000,33450000,4e+06,3.97e+08,1.33e+08
100061069,"03",1,8322,"6021",2,2,0,1.2e+07,0,0,0,2.9e+07,1.7e+07
100011001,"03",1,8322,"6021",2,2,0,4850000,1250000,620000,720000,25440000,1.8e+07
100011015,"01",1,5220,"5125",2,1,0,5.72e+08,0,1450000,0,667450000,9.4e+07
100051053,"01",1,2429,"7411",2,2,0,220000,50000,460000,0,17380000,16650000
100061058,"01",1,7241,"5260",2,2,0,350000,130000,3600000,0,22080000,1.8e+07
100061067,"01",1,5220,"5147",2,2,0,18500000,210000,3e+06,180000,45290000,23400000
100061068,"01",1,6111,"0111",2,1,350000,1045000,150000,1350000,0,8400000,5505000
100091075,"01",1,5220,"5221",2,2,0,74500000,0,1980000,0,104480000,2.8e+07
100051055,"01",1,1210,"1410",2,2,1.8e+08,4.2e+08,2e+08,1.2e+08,2.5e+07,1.095e+09,1.5e+08
100051055,"03",1,7111,"1410",3,2,0,0,0,0,0,0,0
100021045,"03",1,9111,"5259",2,2,1e+06,2.2e+07,0,0,0,31500000,8500000
100011026,"01",1,5220,"5240",2,2,0,8.7e+07,0,3e+05,350000,116650000,2.9e+07
100091075,"03",1,5220,"5221",3,2,0,0,0,0,0,0,0
100012014,"01",1,1210,"2022",1,2,41160000,37500000,3200000,4700000,0,130960000,44400000
100092071,"01",1,8322,"6021",2,2,0,1050000,120000,0,0,5920000,4750000
100092073,"01",1,6113,"0112",2,1,2200000,2100000,650000,9310000,0,38320000,24060000
100012018,"01",1,8322,"6021",2,2,0,1.1e+07,0,0,0,3e+07,1.9e+07
100092072,"01",1,6113,"0112",2,1,1150000,1530000,0,1830000,0,30750000,26240000
101052062,"01",1,7124,"2022",2,2,0,0,0,0,0,0,3e+07
101042019,"01",1,8322,"6022",2,2,0,0,0,0,0,0,8e+05
101042019,"01",1,6111,"0111",1,1,3500000,630000,0,9400000,0,31500000,17970000
101042019,"02",1,6111,"0111",3,1,0,0,0,0,0,0,0
101052035,"01",1,8322,"6021",2,2,0,0,0,0,0,0,21600000
101052036,"01",1,8322,"6021",2,2,0,0,0,0,0,0,7200000
101052040,"01",1,1313,"4521",1,2,0,0,0,0,0,0,7.2e+07
101052054,"01",1,5220,"5229",1,2,0,0,0,0,0,0,3e+07
101052056,"02",1,9112,"5259",2,2,0,0,0,0,0,0,6e+06
101052061,"01",1,5220,"5221",2,2,0,0,0,0,0,0,1.8e+07
101052063,"01",1,3421,"7011",2,2,0,0,0,0,0,0,1.8e+07
101052063,"04",1,8322,"6021",2,2,0,0,0,0,0,0,14400000
101072072,"01",1,6111,"0111",1,1,8500000,2700000,0,350000,0,1.6e+07,4450000
101072072,"01",1,6112,"0113",1,1,3e+06,5500000,0,9e+06,0,3.5e+07,17500000
101112086,"01",1,8322,"6022",2,2,0,0,0,0,0,0,1.8e+07
101112086,"01",1,6111,"0111",1,1,2800000,8e+05,0,960000,0,0,-4560000
101052043,"01",1,5220,"5236",1,2,0,0,0,0,0,0,3.6e+07
101052043,"01",1,5220,"5229",1,2,0,0,0,0,0,0,6e+06
101052044,"01",1,6111,"0111",1,1,2100000,83000,16000,960000,0,14400000,11241000
101052044,"02",1,7433,"1810",2,2,0,0,0,0,0,0,2400000
101052029,"01",1,1313,"4521",2,2,0,0,0,0,0,0,2e+08
101072071,"01",1,6121,"0124",1,1,5e+06,4250000,0,0,0,21600000,12350000
101072071,"01",1,5220,"0113",2,1,0,0,0,0,0,0,2100000
101072071,"01",1,5220,"0113",2,1,0,0,0,0,0,0,1e+06
101072072,"01",1,6121,"0124",2,1,0,1e+07,0,0,0,1.4e+07,4e+06
101072072,"05",1,6113,"0112",1,1,2e+07,11500000,0,15400000,0,8.5e+07,38100000
101072072,"05",1,6112,"0113",3,1,0,0,0,0,0,0,0
101072072,"06",1,6113,"0112",3,1,0,0,0,0,0,0,0
101072072,"06",1,6121,"0124",3,1,0,0,0,0,0,0,0
101102084,"01",1,5220,"5229",2,2,0,0,0,13200000,0,6e+07,46800000
101102084,"02",1,3480,"9191",2,2,0,0,0,0,0,0,8e+05
101112094,"01",1,6111,"0111",2,1,325000,60000,0,555000,0,3800000,2860000
101112094,"01",1,5220,"0111",2,1,0,0,0,0,0,0,135000
101112094,"02",1,6111,"0111",3,1,0,0,0,0,0,0,0
101102084,"04",1,5220,"5229",2,2,0,0,0,0,0,0,14400000
101052021,"01",1,8322,"6023",2,2,0,0,0,0,0,0,7200000
101162098,"01",1,7221,"2811",1,2,14400000,0,0,3960000,0,36360000,1.8e+07
101162098,"03",1,5220,"5222",2,2,7800000,0,0,30050000,0,46250000,8400000
101062070,"03",1,8322,"6022",2,2,0,0,0,0,0,0,14400000
101112093,"01",1,6111,"0112",2,1,0,5e+05,0,0,0,2e+06,1500000
101112093,"01",1,6122,"0129",2,1,0,1200000,0,0,0,5e+05,-7e+05
101112093,"01",1,6111,"0111",2,1,0,6e+05,0,6250000,0,12600000,5750000
101112093,"02",1,6111,"0111",3,1,0,0,0,0,0,0,0
101112090,"01",1,5220,"5123",2,2,0,0,0,0,0,0,1.8e+07
101112090,"01",1,3413,"7020",2,2,0,0,0,0,0,0,1.2e+07
101062068,"01",1,7123,"4521",1,2,0,0,0,0,0,0,4.8e+07
101102082,"01",1,6111,"0111",1,1,2e+05,85000,0,4e+05,0,0,-685000
101102082,"01",1,7126,"4521",1,2,0,0,0,0,0,0,43200000
101102082,"02",1,6111,"0111",3,1,0,0,0,0,0,0,0
101112092,"01",1,8321,"6021",2,2,0,0,0,0,0,0,10800000
101022007,"01",1,7244,"5260",2,2,0,0,0,0,0,0,6e+06
101052057,"01",1,8322,"6023",2,2,0,0,0,0,0,0,3e+07
101052052,"01",1,1313,"4521",1,2,0,0,0,0,0,0,5.4e+07
101052059,"01",1,7126,"4521",2,2,0,0,0,0,0,0,10800000
101062070,"05",1,5220,"5211",2,2,0,0,0,3600000,0,25200000,21600000
101082078,"01",1,8322,"6022",2,2,0,0,0,0,0,0,1.5e+07
101082078,"01",1,5220,"5211",2,2,0,0,0,0,0,0,2100000
101082078,"04",1,5141,"9302",2,2,0,0,0,2080000,0,6880000,4800000
101082078,"05",1,7231,"5020",2,2,7200000,0,0,3600000,0,28800000,1.8e+07
101052032,"01",1,8322,"6021",2,2,0,0,0,0,0,0,1.8e+07
101162099,"01",1,7126,"4521",2,2,0,0,0,0,0,0,1.1e+07
101023003,"01",1,6111,"0111",1,1,1600000,84000,0,650000,0,8500000,6166000
101023003,"02",1,5141,"9302",2,2,0,0,0,0,0,0,4200000
101053040,"01",1,8322,"6021",2,2,0,0,0,0,0,0,1.8e+07
101133095,"03",1,5220,"5211",2,2,0,0,0,0,0,0,7200000
101023004,"01",1,2320,"8090",2,2,0,0,0,0,0,0,3e+07
