"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15","DYCOL16","DYCOL17","DYCOL18","DYCOL19","DYCOL20","DYCOL21","DYCOL22","DYCOL23","DYCOL24","DYCOL25","DYCOL26","DYCOL27","DYCOL28","DYCOL29","DYCOL30","DYCOL31","DYCOL32","DYCOL33","DYCOL34","DYCOL35","DYCOL36","DYCOL37","DYCOL38","DYCOL39","DYCOL40","DYCOL41","DYCOL42","DYCOL43","DYCOL44","DYCOL45","DYCOL46","DYCOL47","DYCOL48","DYCOL49","DYCOL50","DYCOL51","DYCOL52","DYCOL53","DYCOL54","DYCOL55","DYCOL56","DYCOL57","DYCOL58","DYCOL59","DYCOL60","DYCOL61","DYCOL62","DYCOL63","DYCOL64","DYCOL65","DYCOL66","DYCOL67","DYCOL68","DYCOL69","DYCOL70","DYCOL71","DYCOL72","DYCOL73","DYCOL74","DYCOL75","DYCOL76","DYCOL77","DYCOL78","DYCOL79","DYCOL80","DYCOL81","DYCOL82","DYCOL83","DYCOL84","DYCOL85","DYCOL86","DYCOL87","DYCOL88","DYCOL89","DYCOL90"
"000091192","01","6121",NA,NA,NA,NA,3,"50","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2500000,NA,NA,NA,NA,NA,2500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e+06,NA,NA,8e+06,50000,30000,NA,NA,NA,NA,NA,NA,80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e+06,NA,1e+06,6e+06,NA,NA,NA,NA,NA,1.4e+07
"000091193","01","6111",1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+06,880000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,60000,NA,NA,NA,NA,2990000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300000,2e+06,4e+05,NA,NA,NA,NA,NA,NA,NA,NA,4700000,1.1e+07,6800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18800000
"000011067","01","6112",NA,NA,2,".1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120000",120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1650000
"000011067","02","6121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000011067","01","6111",1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350000,NA,NA,NA,NA,NA,NA,2e+05,550000,NA,NA,1200000,3e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,70000,NA,NA,NA,NA,NA,1570000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100000,NA,930000,NA,NA,NA,NA,NA,NA,NA,NA,2030000,1.5e+07,1200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16200000
"000011068","01","6121",NA,NA,NA,NA,3,"18","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2340000,NA,NA,NA,NA,120000,2460000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1550000,NA,"200000",1750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600000,2e+05,NA,2e+06,NA,NA,NA,NA,NA,5800000
"000011068","04","6111",1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e+05,NA,NA,NA,NA,NA,NA,150000,550000,NA,NA,780000,150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,120000,NA,NA,NA,NA,NA,1050000,NA,NA,NA,NA,NA,3e+06,NA,NA,3e+06,NA,1500000,350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,1850000,2.4e+07,1550000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25550000
"000011023","01","6112",NA,NA,2,"3000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260000,NA,150000,NA,NA,NA,190000,NA,NA,NA,NA,55000,NA,NA,NA,NA,NA,655000,NA,NA,3e+05,NA,NA,NA,NA,NA,3e+05,NA,NA,NA,NA,NA,NA,90000,NA,NA,NA,290000,NA,380000,NA,NA,NA,NA,NA,NA,NA,6430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6430000
"000011051","01","6111",1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,NA,1e+05,NA,NA,50000,NA,NA,NA,NA,NA,450000,4800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4800000
"000051118","01","6111",1,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,NA,NA,NA,NA,NA,NA,NA,1e+06,NA,NA,360000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA,380000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e+05,NA,NA,NA,2e+06,NA,NA,NA,NA,NA,NA,2400000,4e+06,NA,2500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6500000
"000061142","01","6121",NA,NA,NA,NA,3,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33300000,NA,"1200000",34500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8640000,NA,NA,67500000,NA,NA,NA,NA,NA,76140000
"000061144","01","6121",NA,NA,NA,NA,3,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80000,80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2e+07,NA,NA,1.2e+07,50000,30000,NA,NA,NA,NA,NA,NA,80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e+06,NA,1e+06,8700000,NA,NA,NA,NA,NA,17700000
"000071159","02","6121",NA,NA,NA,NA,3,"20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4800000,NA,NA,4800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3650000,320000,NA,8350000,NA,NA,NA,NA,NA,12320000
"000071157","01","6121",NA,NA,NA,NA,3,"70","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1050000,NA,NA,NA,NA,NA,1050000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+06,NA,NA,5e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2150000,720000,NA,14100000,NA,NA,NA,NA,NA,16970000
"000071157","01","6111",1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e+05,NA,NA,NA,NA,NA,NA,580000,1280000,NA,NA,450000,NA,NA,NA,4e+05,NA,1e+06,320000,NA,NA,650000,180000,30000,NA,NA,NA,NA,3030000,NA,NA,380000,NA,140000,60000,NA,NA,580000,NA,NA,NA,4e+05,NA,NA,NA,70000,NA,NA,580000,NA,1050000,1.6e+07,4e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
