"ADDRESS","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08"
"001024010","03",NA,NA,NA,"0004200000",NA,NA
"001031011","01","0025900000",NA,NA,NA,NA,NA
"001032013","01","0017520000","0003500000",NA,NA,NA,NA
"001041017","01",NA,NA,NA,"0001300000",NA,NA
"001041019","01",NA,"0003400000",NA,NA,NA,NA
"001041021","01",NA,NA,NA,"0004100000",NA,NA
"001041022","01",NA,NA,NA,"0005300000",NA,NA
"001041025","01",NA,"0003600000",NA,"0002300000",NA,NA
"001042019","01",NA,NA,NA,"0000600000",NA,NA
"001042020","01",NA,NA,NA,NA,"0001000000",NA
"001042022","01","0013750000","0007000000",NA,NA,NA,NA
"001042024","06",NA,NA,NA,"0003180000",NA,NA
"001043011","01","0","0001054000",NA,NA,NA,NA
"001043013","01",NA,"0003250000",NA,"0004280000",NA,NA
"001043013","02",NA,NA,NA,NA,NA,"0000900000"
"001043016","01",NA,NA,"0004200000","0004750000",NA,NA
"001043017","01","0022150000","0001000000",NA,NA,NA,NA
"001043018","01",NA,NA,NA,NA,"0000740000",NA
"001043020","01","0007500000",NA,NA,NA,NA,NA
"001044014","01",NA,NA,NA,"0019750000",NA,NA
"001044017","01",NA,NA,NA,NA,NA,"0004000000"
"001044018","01",NA,NA,NA,"0005500000",NA,NA
"001044020","01",NA,NA,NA,"0004700000",NA,"0001050000"
"001051027","01",NA,"0014000000",NA,NA,NA,NA
"001051030","01",NA,NA,NA,"0004600000",NA,NA
"001051033","01","0025750000",NA,NA,NA,NA,NA
"001051036","01",NA,"0004680000",NA,NA,NA,NA
"001051037","01",NA,NA,NA,"0003550000",NA,NA
"001051039","01","0014350000",NA,NA,NA,NA,NA
"001051042","01",NA,NA,NA,NA,"0000750000",NA
"001051043","02",NA,"0001300000",NA,NA,NA,NA
"001051044","02",NA,NA,NA,NA,"0000150000",NA
"001051045","01","0012600000",NA,NA,NA,NA,NA
"001051046","01",NA,NA,NA,"0006900000",NA,NA
"001051047","05",NA,NA,NA,"0001800000",NA,NA
"001052027","01",NA,"0004500000",NA,"0002800000",NA,NA
"001052032","01",NA,"0003200000",NA,NA,NA,NA
"001052033","03",NA,NA,NA,NA,"0000500000",NA
"001052034","01","0016920000",NA,NA,NA,NA,NA
"001052035","01",NA,NA,NA,"0003260000",NA,NA
"001052042","03","0038000000",NA,NA,NA,NA,NA
"001052043","01","0021900000","0005040000",NA,NA,NA,NA
"001052045","01","0040350000",NA,NA,NA,NA,NA
"001052046","01",NA,"0003000000",NA,"0005750000",NA,NA
"001052047","01","0015790000",NA,NA,NA,NA,"0002500000"
"001053021","01",NA,NA,NA,"0003550000",NA,NA
"001053023","01","0027070000",NA,NA,NA,NA,NA
"001053025","01","0098000000",NA,NA,NA,NA,NA
"001053026","01",NA,"0001800000",NA,"0005350000",NA,NA
"001053027","01","0",NA,NA,"0001700000",NA,NA
"001053027","02",NA,NA,NA,"0001700000",NA,NA
"001053028","01",NA,"0002500000",NA,"0003000000",NA,NA
"001053031","01",NA,NA,NA,"0006000000",NA,NA
"001053037","01",NA,NA,NA,"0006000000",NA,NA
"001053038","01","0026000000",NA,NA,NA,NA,NA
"001053043","01",NA,NA,NA,"0003350000",NA,NA
"001053046","01","0019750000","0025400000",NA,NA,NA,NA
"001053047","01",NA,NA,NA,"0004150000",NA,NA
"001053048","01",NA,"0003250000",NA,NA,NA,NA
"001054021","01",NA,"0007500000",NA,NA,NA,NA
"001054024","01",NA,"0012200000",NA,"0002100000",NA,NA
"001054025","01",NA,"0002500000",NA,NA,NA,NA
"001054026","01","0","0015000000",NA,NA,NA,NA
"001054027","01","0017030000",NA,NA,NA,NA,NA
"001054030","01",NA,"0002200000",NA,NA,NA,NA
"001054031","01",NA,NA,NA,NA,"0000750000",NA
"001054033","01","0019500000",NA,NA,NA,NA,NA
"001054034","01","0019750000",NA,NA,NA,NA,NA
"001054035","01","0027500000",NA,NA,NA,NA,NA
"001054038","01","0019750000","0002100000",NA,NA,NA,NA
"001054039","01",NA,"0002700000",NA,"0025510000",NA,NA
"001054040","04","0",NA,NA,"0002200000",NA,NA
"001054044","04",NA,NA,NA,"0001000000",NA,NA
"001054046","01",NA,NA,NA,NA,"0006000000",NA
"001054047","01",NA,"0002205000",NA,"0031750000",NA,NA
"001054048","01",NA,"0003000000",NA,"0004950000",NA,NA
"001054049","01",NA,NA,NA,"0003750000",NA,NA
"001061051","01",NA,NA,NA,"0002950000",NA,NA
"001061052","02",NA,NA,NA,NA,NA,"0005000000"
"001061053","01","0019000000",NA,NA,NA,NA,NA
"001061055","02",NA,NA,NA,NA,NA,"0000700000"
"001062051","01",NA,NA,NA,"0003900000",NA,NA
"001062052","01",NA,NA,NA,"0003400000","0000500000",NA
"001062053","04",NA,NA,NA,"0004540000",NA,NA
"001062054","01",NA,NA,NA,"0005500000","0000400000",NA
"001063052","01",NA,NA,NA,"0003850000",NA,NA
"001063053","01","0017350000",NA,NA,NA,NA,NA
"001064051","01","0023350000",NA,NA,NA,NA,NA
"001064053","01",NA,NA,NA,"0004550000",NA,"0001800000"
"001064054","01","0025750000",NA,NA,NA,NA,NA
"001064054","02",NA,NA,NA,NA,"0000450000",NA
"001071056","01",NA,"0012500000",NA,NA,NA,NA
"001071060","04",NA,NA,NA,"0001200000",NA,NA
"001071060","05",NA,NA,NA,"0001200000",NA,NA
"001071061","01",NA,"0008000000",NA,NA,NA,NA
"001071062","01",NA,"0022700000",NA,NA,NA,NA
"001071063","01",NA,NA,NA,NA,NA,"0003500000"
"001071064","01",NA,"0015600000",NA,NA,NA,"0003000000"
"001071065","01","0014470000",NA,NA,NA,NA,NA
"001072056","01",NA,"0004200000",NA,NA,NA,NA
"001072056","02",NA,NA,NA,NA,"0003000000",NA
"001072058","01","0019370000",NA,NA,NA,NA,NA
"001072060","01","0121750000",NA,NA,NA,NA,NA
"001072062","01",NA,"0000700000",NA,NA,NA,NA
"001072062","02",NA,NA,NA,"0003900000",NA,NA
"001073057","02","0",NA,NA,NA,NA,"0002500000"
"001074056","01",NA,NA,NA,"0003000000",NA,"0006000000"
"001074060","01","0019750000","0003500000",NA,NA,NA,"0004000000"
"001081067","01","0025750000",NA,NA,NA,"0000720000",NA
"001081071","01",NA,NA,NA,NA,NA,"0000300000"
"001081072","01",NA,"0002200000",NA,NA,NA,NA
"001081073","01",NA,NA,NA,"0003800000",NA,NA
"001081075","01",NA,"0007000000",NA,NA,"0001800000",NA
"001082067","01",NA,"0007200000",NA,NA,NA,NA
"001082069","01",NA,NA,NA,"0003350000",NA,NA
"001082069","02",NA,NA,NA,NA,NA,"0003600000"
"001083061","01",NA,NA,NA,"0005240000",NA,NA
"001083062","04",NA,NA,NA,"0004550000",NA,NA
